Alternativet,Dansk Folkeparti,Det Konservative Folkeparti,Enhedslisten,Kristendemokraterne,Liberal Alliance,Nye Borgerlige,Radikale Venstre,Socialdemokratiet,Socialistisk Folkeparti,Venstre,Borgernes Parti,Danmarksdemokraterne,Frie Grønne,Moderaterne
0.021289522,0.087505855,0.06497564,0.061672784,0.00014264823,0.12119096,0.00014264823,0.04891411,0.20572093,0.1341806,0.11556904,0.021162108,0.065592274,0.00014264823,0.051798217
0.024540542,0.083488174,0.06791599,0.076062076,0.0002863975,0.09197852,0.0002863975,0.053491306,0.20514674,0.13512899,0.10771126,0.029767212,0.0774104,0.0002863975,0.046499643
0.02086271,0.072694145,0.07379831,0.057133436,0.00012352408,0.131612,0.00012352408,0.043168757,0.2089435,0.1439739,0.10402605,0.020274477,0.076028585,0.00012352408,0.04711356
0.024875766,0.08220004,0.06933844,0.08233208,0.00020356789,0.10166132,0.00020356789,0.054614693,0.21168943,0.122627586,0.10113461,0.026591543,0.06290379,0.00020356789,0.059419964
0.023905717,0.08403137,0.07030928,0.07029388,0.00020368624,0.09212025,0.00020368624,0.06510616,0.2140671,0.11326917,0.11898132,0.023601407,0.06593174,0.00020368624,0.057771463
0.020769717,0.1018481,0.07183014,0.059304494,0.00013828922,0.11726296,0.00013828922,0.054794293,0.18309557,0.13775647,0.10194392,0.020995317,0.07543448,0.00013828922,0.0545497
0.023926724,0.068306014,0.07391733,0.08848857,0.00021704765,0.109567784,0.00021704765,0.054211985,0.21958451,0.11258263,0.09144359,0.022854377,0.06586644,0.00021704765,0.06859893
0.02114553,0.10605371,0.058740214,0.051397573,0.00012178235,0.11465951,0.00012178235,0.051630773,0.18832125,0.15224884,0.11532877,0.02056922,0.07286203,0.00012178235,0.04667725
0.022022992,0.103370085,0.06314795,0.048109744,0.00017207053,0.11337988,0.00017207053,0.050017055,0.19115329,0.14756359,0.118894875,0.018953435,0.07634213,0.00017207053,0.046528764
0.024246318,0.089254454,0.0733173,0.06704222,0.00018993103,0.1197923,0.00018993103,0.041990127,0.22529328,0.12686467,0.094242945,0.024821457,0.06727803,0.00018993103,0.04528717
0.022922324,0.08513977,0.08082648,0.06912179,0.00020037933,0.09232168,0.00020037933,0.044674184,0.23249204,0.12376954,0.10360754,0.02455471,0.07094223,0.00020037933,0.049026605
0.018996848,0.07975842,0.05202962,0.06343649,0.00014739498,0.12790202,0.00014739498,0.051682543,0.19549724,0.15648247,0.10312991,0.020641852,0.06786274,0.00014739498,0.062137667
0.026227253,0.07776481,0.06966881,0.07274122,0.00015053635,0.111138694,0.00015053635,0.051649485,0.21133499,0.13973054,0.09007998,0.024238642,0.08054411,0.00015053635,0.04442992
0.022471063,0.08150321,0.070619255,0.06812828,0.00018689697,0.1149862,0.00018689697,0.051701,0.210436,0.12029512,0.11954812,0.020080376,0.05949677,0.00018689697,0.06017393
0.025036665,0.09357231,0.06023362,0.0675865,0.00015928116,0.1308644,0.00015928116,0.0483113,0.1863678,0.121511385,0.10298266,0.020493336,0.06975384,0.00015928116,0.07280835
0.025101442,0.067253314,0.06567592,0.06504559,0.00014805478,0.09683434,0.00014805478,0.060846563,0.21134889,0.13133445,0.11357276,0.028648617,0.07766465,0.00014805478,0.05622931
0.020932648,0.086982675,0.061967723,0.069663174,0.00016080162,0.12427459,0.00016080162,0.043371428,0.19971992,0.14282857,0.097030126,0.019264232,0.07244574,0.00016080162,0.061036825
0.021866493,0.08447283,0.06649737,0.06895256,0.00017135162,0.13208473,0.00017135162,0.04502566,0.19882005,0.1380306,0.09683629,0.020426216,0.06939525,0.00017135162,0.057077825
0.023124374,0.08510982,0.07409791,0.06027077,0.00016549656,0.09749241,0.00016549656,0.060029987,0.21487017,0.1289228,0.10280341,0.024327934,0.066686586,0.00016549656,0.06176733
0.023751404,0.08768661,0.05997184,0.059775554,0.00015092012,0.10286749,0.00015092012,0.052099176,0.23297364,0.1333676,0.09796304,0.021703012,0.07581402,0.00015092012,0.051573787
0.021242283,0.07190104,0.07413899,0.07732006,0.0001585953,0.10708525,0.0001585953,0.04615962,0.2084862,0.14621727,0.08652895,0.025752489,0.07746058,0.0001585953,0.057231545
0.025053183,0.08428551,0.064263925,0.061899193,0.00015540798,0.124625675,0.00015540798,0.054253906,0.19767949,0.11886516,0.13249044,0.01758972,0.061374478,0.00015540798,0.057153095
0.0293689,0.08877711,0.05352219,0.06821023,0.00021951142,0.115709744,0.00021951142,0.05312663,0.2144466,0.11981227,0.09391297,0.025556294,0.075100794,0.00021951142,0.061797686
0.018149145,0.078724146,0.052566327,0.063625194,0.00022935067,0.1181726,0.00022935067,0.04800701,0.2073216,0.15311678,0.1130814,0.021247258,0.07015921,0.00022935067,0.05514124
0.028944198,0.08192426,0.08988331,0.06822013,0.0001800687,0.106259994,0.0001800687,0.054611642,0.2103562,0.12083717,0.095715776,0.027386736,0.060680404,0.0001800687,0.054639913
0.018395018,0.08831374,0.05521809,0.06466483,0.00021814033,0.10870198,0.00021814033,0.050794065,0.18341418,0.14812815,0.1255085,0.019305324,0.07936749,0.00021814033,0.057534162
0.025111875,0.07846699,0.07345167,0.074001215,0.00016512758,0.11969256,0.00016512758,0.045214325,0.2273162,0.13324605,0.09360662,0.022716826,0.061259083,0.00016512758,0.045421213
0.018873103,0.08151174,0.0636112,0.055978127,0.0001643028,0.09598031,0.0001643028,0.05185287,0.2581742,0.10866053,0.13090694,0.024278935,0.059922114,0.0001643028,0.04975699
0.025599672,0.074890286,0.082612604,0.079326466,0.0001461848,0.1233176,0.0001461848,0.06362895,0.174135,0.11596378,0.10667527,0.024101911,0.0791773,0.0001461848,0.050132703
0.023123497,0.07825489,0.077592425,0.08697513,0.00021508435,0.12340757,0.00021508435,0.0632667,0.17763281,0.1203386,0.09597602,0.021767482,0.08344592,0.00021508435,0.047573708
0.019869246,0.08378854,0.063591436,0.074103095,0.00021538872,0.14005901,0.00021538872,0.048969407,0.17962627,0.120294735,0.10942069,0.023262903,0.07895667,0.00021538872,0.05741178
0.02665945,0.08155706,0.071429834,0.069097675,0.00018491514,0.09030998,0.00018491514,0.049156286,0.21707621,0.15069224,0.09738691,0.022564396,0.07179617,0.00018491514,0.051719066
0.019485144,0.090365455,0.0636065,0.06656036,0.00016035304,0.1404472,0.00016035304,0.045747798,0.21879305,0.130033,0.089481115,0.02020233,0.06741523,0.00016035304,0.04738171
0.019057432,0.09021193,0.05628536,0.07197133,0.00018973926,0.12809084,0.00018973926,0.060576532,0.20355995,0.13923964,0.09920258,0.021672986,0.060402397,0.00018973926,0.049159784
0.027144149,0.07074705,0.07296472,0.05745953,0.00017923754,0.10893812,0.00017923754,0.04216859,0.22700135,0.11128184,0.103732154,0.021988684,0.080077946,0.00017923754,0.07595808
0.02411298,0.0698182,0.074908726,0.060179617,0.0001726018,0.12276472,0.0001726018,0.05181981,0.22886544,0.11953124,0.093236126,0.020627545,0.067314476,0.0001726018,0.0663033
